Method,SNR_dB,Delta_rad,Delta_norm,FailureRate_pct,MSE,ThresholdRMS,M,N,NRF_coarse,NRF_fine,W,K,TotalIter,d,BoundaryIndex,SectorWidth_beams
Prop CovGuided,3,-0.294524311274043,-0.5,14.56,6.23820735717743e-06,0.00490099852981903,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,3,-0.257708772364788,-0.4375,6.23,3.99334562002275e-06,0.00490738382842464,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,3,-0.220893233455532,-0.375,3.91,3.118870777913e-06,0.00490769327187709,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,3,-0.184077694546277,-0.3125,3.57,2.99156600035409e-06,0.00490169514525494,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,3,-0.147262155637022,-0.25,4.69,3.5180015276535e-06,0.00489671642653577,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,3,-0.110446616727766,-0.1875,11.65,5.41120686381223e-06,0.00489845085294085,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,3,-0.0736310778185108,-0.125,15.9,6.09375737729104e-06,0.0049042916195861,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,3,-0.0368155389092554,-0.0625,11.7,4.75916263008835e-06,0.00490686063882281,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,3,0,0,9.95,4.28015773276008e-06,0.00490306930757457,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,3,0.0368155389092554,0.0625,9.1,4.13493436844223e-06,0.00489763073357718,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,3,0.0736310778185108,0.125,8.67,4.13493910062418e-06,0.00489701317572927,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,3,0.110446616727766,0.1875,8.55,4.20147269620858e-06,0.00490161685714331,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,3,0.147262155637022,0.25,8.43,4.31879853549806e-06,0.00490556042128963,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,3,0.184077694546277,0.3125,8.8,4.38833289815953e-06,0.00490399178733757,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,3,0.220893233455532,0.375,8.47,4.32671309186681e-06,0.00489891074094329,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,3,0.257708772364788,0.4375,8.07,4.22922562546178e-06,0.00489648306740986,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,3,0.294524311274043,0.5,8.71,4.18210837672325e-06,0.0048994494023946,32,100,12,6,6,17,10000,2,15,6
[11] Sector,3,-0.294524311274043,-0.5,100,1.2656907081382,0.00490099852981903,32,100,12,6,6,17,10000,2,15,6
[11] Sector,3,-0.257708772364788,-0.4375,100,1.30199056248216,0.00490738382842464,32,100,12,6,6,17,10000,2,15,6
[11] Sector,3,-0.220893233455532,-0.375,99.99,1.30443922787316,0.00490769327187709,32,100,12,6,6,17,10000,2,15,6
[11] Sector,3,-0.184077694546277,-0.3125,100,1.73491479653904,0.00490169514525494,32,100,12,6,6,17,10000,2,15,6
[11] Sector,3,-0.147262155637022,-0.25,100,1.92840619177089,0.00489671642653577,32,100,12,6,6,17,10000,2,15,6
[11] Sector,3,-0.110446616727766,-0.1875,100,2.03969016096961,0.00489845085294085,32,100,12,6,6,17,10000,2,15,6
[11] Sector,3,-0.0736310778185108,-0.125,100,2.10993075789308,0.0049042916195861,32,100,12,6,6,17,10000,2,15,6
[11] Sector,3,-0.0368155389092554,-0.0625,100,2.13697032656388,0.00490686063882281,32,100,12,6,6,17,10000,2,15,6
[11] Sector,3,0,0,100,2.46599483523409,0.00490306930757457,32,100,12,6,6,17,10000,2,15,6
[11] Sector,3,0.0368155389092554,0.0625,100,2.86819213388624,0.00489763073357718,32,100,12,6,6,17,10000,2,15,6
[11] Sector,3,0.0736310778185108,0.125,100,3.02150115796194,0.00489701317572927,32,100,12,6,6,17,10000,2,15,6
